,Simulation,NSubs,index,pvalue_cdiscr,pvalue_manova,pvalue_dcorr
191,No Effect,24,91,0.6443556443556444,0.004205880494941579,0.03388032598734739
192,No Effect,24,92,0.16783216783216784,0.06867916495233495,0.10728916374755178
193,No Effect,24,93,0.06793206793206794,0.005426837284312818,0.007612621447218699
194,No Effect,24,94,0.004995004995004995,0.003937762460506992,0.0023154533979720376
195,No Effect,24,95,0.8871128871128872,0.5396518345822925,0.580703318246937
196,No Effect,24,96,0.7512487512487512,0.006924518932352793,0.8315627638427802
197,No Effect,24,97,0.7182817182817183,0.6373197455682831,0.41818380522780607
198,No Effect,24,98,0.6433566433566433,0.08939872255024543,0.04758126469576943
199,No Effect,24,99,0.8051948051948052,0.9274708013113565,0.2539232080766091
200,No Effect,36,0,0.7942057942057942,0.6802889739363154,1.0
201,No Effect,36,1,0.8651348651348651,0.7552930407008089,0.6605758336553886
202,No Effect,36,2,0.7452547452547452,0.5683181303897624,0.3135494039845228
203,No Effect,36,3,0.4405594405594406,0.2766424915234317,0.008912332610911525
204,No Effect,36,4,0.8331668331668332,0.4945178600667276,0.43282716947444366
205,No Effect,36,5,0.8251748251748252,0.2515526060682572,0.7190947112164926
206,No Effect,36,6,0.5614385614385614,0.46632136691185,1.0
207,No Effect,36,7,0.15084915084915085,0.014785285638432651,0.0027661818023986175
208,No Effect,36,8,0.16583416583416583,0.5073460475480467,0.3054818494641887
209,No Effect,36,9,0.949050949050949,0.7142309682322492,1.0
210,No Effect,36,10,0.7252747252747253,0.6622762484609173,0.36586411752891856
211,No Effect,36,11,0.6543456543456544,0.12049376653280486,0.04673146288342683
212,No Effect,36,12,0.7742257742257742,0.7071585295854999,1.0
213,No Effect,36,13,0.8581418581418582,0.9842728814826343,0.21265528486917656
214,No Effect,36,14,0.1888111888111888,0.1283587897732058,0.10969915715749498
215,No Effect,36,15,0.7282717282717283,0.9805407936879098,1.0
216,No Effect,36,16,0.09290709290709291,0.0914669516205967,0.024125553771735
217,No Effect,36,17,0.8981018981018981,0.05281408798506838,0.287962064412208
218,No Effect,36,18,0.3646353646353646,0.2969167725726236,0.046011418774649905
219,No Effect,36,19,0.6573426573426573,0.9930585695049357,0.6712874704885593
220,No Effect,36,20,0.44455544455544455,0.03908842247932547,0.0664441067389328
221,No Effect,36,21,0.8961038961038961,0.35448764566653274,0.7488749565861804
222,No Effect,36,22,0.9300699300699301,0.13690850950236472,0.2132779279193747
223,No Effect,36,23,0.3156843156843157,0.14803581284667913,0.1353451336711521
224,No Effect,36,24,0.6373626373626373,0.5878630977845563,0.14889043985813943
225,No Effect,36,25,0.25074925074925075,0.8738865614769242,0.4096098514736449
226,No Effect,36,26,0.32367632367632365,0.06932656194862546,0.017494814636139496
227,No Effect,36,27,0.4775224775224775,0.05643898923255639,0.1551918632370673
228,No Effect,36,28,0.961038961038961,0.5944463109668294,1.0
229,No Effect,36,29,0.04495504495504495,0.0009855320198736677,0.023895433669978906
230,No Effect,36,30,0.981018981018981,0.4483570785976123,1.0
231,No Effect,36,31,0.1878121878121878,0.01398502690677456,0.07973195797196236
232,No Effect,36,32,0.5794205794205795,0.3189215403090855,0.13307891323585844
233,No Effect,36,33,0.7192807192807192,0.05167701661276829,0.0833972032389046
234,No Effect,36,34,0.3106893106893107,0.3306292864273596,0.3603188870891991
235,No Effect,36,35,0.7802197802197802,0.45032137733438693,0.21440107868516167
236,No Effect,36,36,0.3096903096903097,0.25623399057342444,0.3406549022854011
237,No Effect,36,37,0.929070929070929,0.352196532754656,1.0
238,No Effect,36,38,0.6523476523476524,0.4919496715266497,1.0
239,No Effect,36,39,0.17682317682317683,0.0052463803851367525,0.03168836864758705
240,No Effect,36,40,0.919080919080919,0.7559698858810331,0.672154847191452
241,No Effect,36,41,0.8821178821178821,0.006282263938555192,0.1485575371989601
242,No Effect,36,42,0.5104895104895105,0.9782178540479675,0.27779519918248907
243,No Effect,36,43,0.5484515484515484,0.3217487111990076,0.3405391311806261
244,No Effect,36,44,0.5494505494505495,0.41553193554066714,0.09481370612502364
